season,Match_date,city,team1,team2,winner,toss_winner,toss_decision,win_by_runs,win_by_wickets
2012,2012/09/19,Colombo (RPS),Australia,Ireland,Australia,Ireland,bat,,7
2012,2012/09/20,Hambantota,South Africa , Zimbabwe,South Africa ,South Africa ,field,,
2012,2012/09/21,Colombo (RPS),Afghanistan ,England,England,Afghanistan ,field,116,
2012,2012/09/21,Pallekele,Bangladesh , New Zealand, New Zealand,Bangladesh ,field,59,
2012,2012/09/22,Colombo (RPS),Australia, West Indies, West Indies, West Indies,bat,17,
2012,2012/09/22,Hambantota,Sri Lanka , South Africa, South Africa,Sri Lanka ,field,32,
2012,2012/09/23,Colombo (RPS),England , India, India,England ,field,90,
2012,2012/09/23,Pallekele,New Zealand , Pakistan, Pakistan, Pakistan,bat,13,
2012,2012/09/24,Colombo (RPS),Ireland , West Indies,, West Indies,bat,-,-
2012,2012/09/25,Pallekele,Bangladesh , Pakistan, Pakistan, Pakistan,bat,,8
2012,2012/09/27,Pallekele,England ,West Indies,,West Indies,field,15,
2012,2012/09/27,Pallekele,Sri Lanka , New Zealand,, New Zealand,bat,-,-
2012,2012/09/28,Colombo (RPS),Australia, India,Australia, India,bat,,9
2012,2012/09/28,Colombo (RPS),Pakistan ,South Africa,Pakistan ,South Africa,bat,,2
2012,2012/09/29,Pallekele,England , New Zealand,England , New Zealand,bat,,6
2012,2012/09/29,Pallekele,Sri Lanka , West Indies,Sri Lanka , West Indies,bat,,9
2012,2012/09/30,Colombo (RPS),Australia, South Africa,Australia,Australia,field,,8
2012,2012/09/30,Colombo (RPS),India , Pakistan,India , Pakistan,bat,,8
2012,2012/10/01,Pallekele,New Zealand ,West Indies,,New Zealand ,field,-,-
2012,2012/10/01,Pallekele,Sri Lanka , England,Sri Lanka , England,field,19,
2012,2012/10/02,Colombo (RPS),Australia,Pakistan,Pakistan,Australia,field,32,
2012,2012/10/02,Colombo (RPS),India , South Africa,India , South Africa,field,1,
2012,2012/10/04,Colombo (RPS),Sri Lanka , Pakistan,Sri Lanka ,Sri Lanka ,bat,16,
2012,2012/10/05,Colombo (RPS),Australia, West Indies, West Indies, West Indies,bat,74,
2012,2012/10/07,Colombo (RPS),Sri Lanka , West Indies, West Indies, West Indies,bat,36,
